Lname,Fname,Freq,Times,Rank,Regiment
LYNCH,JOHN JOSEPH,0.0,0,Private,132445
SMILLIE,WILLIAM ALEXANDER,0.0,0,Private,132447
RACICOT,THEODORE,0.0,0,Private,132449
HUNTER,WILLIAM JOHNSTONE,0.0,0,Sergeant,13245
HAYWARD,JOHN EDWARD,0.0,0,Private,13246
MASSIE,CHARLES PATERSON,0.0,0,Private,132464
POLLOCK,ALEXANDER ALLAN,0.0,0,Private,132470
LASSONDE,EDWARD JOSEPH,0.0,0,Private,132475
PARSONS,RALPH,0.0,0,Private,132477
MCCALLUM,WILLIAM JOHN WALTER,0.0,0,Private,132478
DAVIDSON,ANDREW,0.0,0,Private,132479
HAWKINS,JESSE,0.0,0,Private,13248
DIXON,GEORGE,0.0,0,Private,132489
JOHNSON,THOMAS PHILLIPS,0.0,0,Private,13249
CUTHBERT,THOMAS,0.0,0,Gunner,132492
DUSTAN,EDWARD,0.0,0,Private,132494
HOOKEY,ARTHUR ERNEST JOSEPH,0.0,0,Private,1325
MCKERCHER,PETER,0.0,0,Private,132500
JOSS,HARRY EDWIN,0.0,0,Private,132503
READ,WILLIAM GEORGE,0.0,0,Private,132505
CUNNINGHAM,AUSTIN,0.0,0,Private,132506
BLEVINS,JOHN,0.0,0,Private,132510
SUTHERLAND,EDGAR WYGHT,0.0,0,Private,132512
MITCHELL,GEORGE OGILVIE,0.0,0,Private,132531
JENNINGS,JOSEPH HENRY,0.0,0,Private,132535
LAMONT,JOHN,0.0,0,Corporal,13254
MONTGOMERY,ROBERT ANDREW,0.0,0,Private,132543
EDWARDS,ARTHUR STANLEY,0.0,0,Private,132545
MACKAY,KENNETH,0.0,0,Private,132549
MORGAN,STANLEY,0.0,0,Private,132563
MILNE,JOHN,0.0,0,Private,132568
ROBB,HENRY SCOTT,0.0,0,Private,132582
ADAMS,JOHN WILLIAM,0.0,0,Corporal,132585
MANCHIP,FRED,0.0,0,Private,132588
HENDERSON,ROBERT,0.0,0,Private,132589
CHAFFEY,JOSEPH FREDERICK,0.0,0,Private,132592
MACMILLAN,JOHN ALLAN,0.0,0,Private,132602
O'CONNOR,JOHN MARTIN JAMES,0.0,0,Private,132607
MACWILLIAM,WILLIAM ANDREW,0.0,0,Private,13261
BARTON,OLIVER ROBERT,0.0,0,Private,132619
HALLIDAY,WILLIAM,0.0,0,Sergeant,13262
HILLYER,HENRY JAMES,0.0,0,Corporal,132620
ROBERTSON,JOHN WHYTE,0.0,0,Private,132629
MCDONALD,ALLAN ROARY,0.0,0,Private,132646
MORRIS,ALEXANDER,0.0,0,Private,132647
MCDONALD,JOHN WILLIAM,0.0,0,Private,13265
MACIVOR,MURDO,0.0,0,Private,132654
CLARK,FREDERICK HENRY,0.0,0,Private,132657
KENNA,ROBERT,0.0,0,Private,132662
BLACKWOOD,HARTLEY,0.0,0,Private,132672
ROSS,CLARENCE JOHN,0.0,0,Private,132673
OWRID,LESLIE WILLIAM,0.0,0,Corporal,132683
MARRS,DANIEL,0.0,0,Private,132688
OLSEN,GEORGE,0.0,0,Private,13269
LEE,THOMAS WILLIAM,0.0,0,Private,132691
CHAPMAN,EDWARD,0.0,0,Private,132692
KITCHING,ALBERT,0.0,0,Private,132695
SINCLAIR,JAMES BUCHANAN,0.0,0,Private,132700
DYSON,WILLIAM,0.0,0,Private,132709
PRESTON,ERIC,0.0,0,Private,13271
EYNOUF,JOHN,0.0,0,Private,132710
LAUGHREN,JAMES MICHAEL,0.0,0,Private,132714
TAYLOR,HARRY ARTHUR,0.0,0,Corporal,132719
WILLIAMS,ARTHUR PERCIVAL,0.0,0,Private,132720
MCCRUM,FREDERICK ALGERNON,0.0,0,Private,132721
NEWTON,GEORGE ARTHUR,0.0,0,Private,132738
MORAN,EDWARD,0.0,0,Private,132742
CLARK,WILLIAM GEORGE,0.0,0,Private,132750
BAXTER,ROBERT GORDON,0.0,0,Private,132755
MCARTHUR,ARTHUR,0.0,0,Private,132760
ADAMS,THOMAS,0.0,0,Private,132771
HILL,EDGAR HARRISON,0.0,0,Sergeant,132778
MARTIN,WILLIAM JOHN JOSEPH,0.0,0,Private,132787
FLETCHER,SYDNEY,0.0,0,Private,132790
RANKIN,JOHN,0.0,0,Private,132792
GILLINGHAM,WILLIAM,0.0,0,Sapper,1328
PRESS,HARRY,0.0,0,Private,132811
HANNAFORD,WILLIAM,0.0,0,Sergeant,132812
MACDONALD,DONALD DUNCAN,0.0,0,Lance Corporal,132817
HINDES,ALBERT GEORGE,0.0,0,Lance Corporal,132818
SUTTON,HENRY,0.0,0,Private,13282
AFFLECK,RAYMOND,0.0,0,Lance Corporal,132823
SCOTT,JAMES HUSH,0.0,0,Private,132826
FERGUSON,ARCHIBALD,0.0,0,Private,132842
SMITH,EDMOND FRANCIS,0.0,0,Private,13285
TURNER,WILLIAM,0.0,0,Private,132852
TOWSLEY,ARCHIBALD LORING,0.0,0,Private,132862
CAVE,JOHN,0.0,0,Private,132867
JONES,ALFRED EDWARD,0.0,0,Private,132870
BARNES,THOMAS,0.0,0,Private,132871
BACK,RICHARD,0.0,0,Private,132874
WARD,WILLIAM,0.0,0,Private,132876
VINCENT,REGINALD JAMES,0.0,0,Private,132878
STEWART,WEBSTER,0.0,0,Private,132882
SIDDALL,CHARLES HAROLD,0.0,0,Private,132884
SCOTT,DOUGLAS,0.0,0,Private,132885
POPE,CARLETON,0.0,0,Private,132886
THOMSON,WILLIAM,0.0,0,Private,13289
BURNSIDE,ALEXANDER,0.0,0,Private,132890
SIMPSON,MILTON,0.0,0,Lance Corporal,132892
MACKELLAR,DUNCAN WILLIAM,0.0,0,Private,132898
DELOSH,JAMES ALEXANDER,0.0,0,Private,132899
STANLEY,ARTHUR MILLS,0.0,0,Private,132904
ALGUIRE,WILLIAM MANSON,0.0,0,Private,132911
SHAVER,HAROLD,0.0,0,Corporal,132912
SEGUIN,ARTHUR,0.0,0,Private,132918
PENNINGTON,PETER BALFOUR,0.0,0,Sergeant,132920
DONOVAN,GEORGE,0.0,0,Private,132926
NAUFFTS,GEORGE ALLISTAR FRANCIS,0.0,0,Private,132936
BROWN,GERALD CHARLES,0.0,0,Private,132939
MCLAREN,DUNCAN,0.0,0,Private,132947
LONGHURST,HECTOR,0.0,0,Private,132954
ROGERS,JAMES SIMEON,0.0,0,Private,132960
MCBURNIE,ROBERT,0.0,0,Private,132964
MCLAREN,NORMAN WILLARD,0.0,0,Private,132971
WHITEHEAD,FREDERICK GLOVER,0.0,0,Private,132972
CASPELL,THOMAS ARTHUR,0.0,0,Sergeant,132973
NELSON,NEILS IVER,0.0,0,Private,132977
HART,WALTER,0.0,0,Private,132979
WATERS,WILLIAM MACDONALD,0.0,0,Corporal,13299
LAWRENCE,JOSHUA,0.0,0,Corporal,132990
DIXON,HERBERT,0.0,0,Private,132996
CLARKE,ARTHUR RONALD,0.0,0,Private,1330
ROWLEY,JOHN,0.0,0,Corporal,133010
CHRISTIE,ALEXANDER,0.0,0,Private,133030
MORGAN,JOSEPH ARTHUR,0.0,0,Private,133035
TAYLOR,SYDNEY JOHN,0.0,0,Private,133038
BAKER,THOMAS,0.0,0,Private,133040
SHARP,GEORGE BOYD,0.0,0,Private,133044
FISHER,NORMAN,0.0,0,Private,133048
WHITE,LESLIE,0.0,0,Private,13305
GILCHRIST,MAURICE HOWARD,0.0,0,Private,133050
ADAM,JAMES,0.0,0,Private,133055
SIMPSON,THOMAS NESBIT,0.0,0,Sergeant,13306
MCGURK,JAMES ISAAC,0.0,0,Private,133063
ELLINGFORD,HARRY,0.0,0,Private,133064
O'CONNORS,JOHN,0.0,0,Private,133067
BAILEY,BENJAMIN BERNARD,0.0,0,Private,13307
COOPER,HAROLD ARTHUR,0.0,0,Lance Serjeant,133071
RUDGE,HARRY REGINALD,0.0,0,Sergeant,133077
LAROCQUE,DAVID JOHN,0.0,0,Private,133089
TAYLOR,WILLIAM EDWARD,0.0,0,Private,133096
DOMINGUE,ARTHUR JOSEPH,0.0,0,Private,133105
MARTIN,ALFRED,0.0,0,Private,133108
HICKEY,DAVID,0.0,0,Private,133110
WILSON,ARTHUR SAMUEL,0.0,0,Private,133113
STEWART,IRVINE,0.0,0,Private,133119
APPLIN,SAMUEL,0.0,0,Private,133124
CARTLIDGE,THOMAS,0.0,0,Private,133126
SUTTON,GEORGE WILLIAM,0.0,0,Private,133129
CARTWRIGHT,THOMAS,0.0,0,Private,133130
BOLAND,BERT YOUNG,0.0,0,Private,133133
HURST,CUTHBERT JOHN,0.0,0,Private,133140
SQUAIR,LYALL DAVID,0.0,0,Private,133145
WILCOX,HENRY JOHN,0.0,0,Private,133149
SMITH,JOHN WILLIAM,0.0,0,Private,133151
HEARN,FREDERICK CHARLES,0.0,0,Private,133152
BETHUNE,GEORGE,0.0,0,Private,133156
MORROW,DOUGLAS WILLIAM,0.0,0,Corporal,133161
MAGEE,FRANK WILLIAM,0.0,0,Private,133164
LEA,WALTER,0.0,0,Private,133166
CARLISLE,REGINALD GEOFFREY,0.0,0,Private,133169
DUNLOP,WILLIAM,0.0,0,Private,133173
ROSS,HUGH GORDON,0.0,0,Private,133176
WRIGHT,JAMES,0.0,0,Sergeant,133183
LAVERY,ROBERT,0.0,0,Private,133188
JOSS,JAMES,0.0,0,Private,133198
BURRILL,VIVIAN LUXMOORE,0.0,0,Lance Corporal,133201
BARRIER,JOSEPH,0.0,0,Private,133206
DOUGLAS,THOMAS SHOLTO,0.0,0,Private,133207
EADES,ROBERT,0.0,0,Private,133208
JOHNSTON,ARCHIBALD,0.0,0,Lance Corporal,133213
WALKER,ALEXANDER GEORGE,0.0,0,Private,133231
GREEN,HUGH ALLAN,0.0,0,Private,133239
USSHE,ROBERT LIONEL,0.0,0,Private,133242
LIGHTFOOT,THOMAS,0.0,0,Private,133244
ROMNEY,WILLIAM LEWIS DUNSFORD,0.0,0,Private,133247
BEAMES,THOMAS HENRY,0.0,0,Private,13325
KEARNEY,HENRY,0.0,0,Private,133250
LESLIE,FRANK,0.0,0,Private,133253
WALLACE,JAMES,0.0,0,Private,133257
DOYLE,WILLIAM BRITTAN,0.0,0,Private,133259
VIGERS,FREDERICK,0.0,0,Private,133261
HALL,FREDERICK,0.0,0,Private,133268
BIRCH,JOHN ENOCH,0.0,0,Private,13327
DYKES,SAMUEL,0.0,0,Private,133275
SPEARY,ALBERT,0.0,0,Private,133277
FINKELSTEIN,PAUL,0.0,0,Private,133288
CARLYLE,SYDNEY GRAHAM,0.0,0,Lance Corporal,13329
BAKER,ALFRED,0.0,0,Private,133297
KNIGHT,CHARLES JOSEPH,0.0,0,Private,133311
LINDSAY,NORMAN FLETCHER,0.0,0,Private,13337
MCGEE,JOHN CLYDE,0.0,0,Corporal,13341
MURRAY,WILLIAM,0.0,0,Sergeant,13342
ROBERTSON,FREDERICK,0.0,0,Private,13344
BAUGH,JOHN HENRY,0.0,0,Private,13353
BOYER,FREDERICK WILLIAM,0.0,0,Private,13356
DALY,DENIS,0.0,0,Private,13359
CRANDELL,OSCAR,0.0,0,Private,1336
PAINE,JAMES SPARKES,0.0,0,Lance Corporal,1336
DAVIDSON,ROBERT MCBLAIN,0.0,0,Lance Corporal,13360
FIGGIS,HERBERT ARTHUR,0.0,0,Private,13363
EDGAR,JOSEPH,0.0,0,Bombardier,133699
OGILVIE,EDGAR,0.0,0,Lance Corporal,13370
FORBES,ARTHUR,0.0,0,Private,13372
TOMICH,WILLIAM,0.0,0,Private,13374
BRYCE,WILLIAM,0.0,0,Sapper,13383
CONDER,WILLIAM JOSEPH,0.0,0,Private,13384
BOTTOMLEY,JOHN WOOD,0.0,0,Company Sergeant Major,13387
HIGHAM,JOHN WILLIAM,0.0,0,Private,13387
HALDANE,JOHN,0.0,0,Private,13388
GORDON,JOHN,0.0,0,Corporal,134
ADAMTHWAITE,ALBERT JAMES,0.0,0,Lance Corporal,13408
BOWDITCH,ALFRED GEORGE,0.0,0,Private,13409
SPIRES,GEORGE,0.0,0,Private,1341
DOWDLE,JOHN THOMAS,0.0,0,Private,13413
GOFF,FREDERICK,0.0,0,Private,13419
HICK,HERBERT,0.0,0,Private,13420
HILL,JOHN SAMUEL,0.0,0,Private,13421
HOLDER,GEORGE HENRY,0.0,0,Private,13421
MCNAUGHTON,WILLIAM ALFRED KENNETH,0.0,0,Private,13426
NEWMAN,PETER,0.0,0,Lance Corporal,13428
OLIVER,WILLIAM,0.0,0,Private,13429
TAGGART,WILLIAM,0.0,0,Gunner,1343
WHITE,LAWRENCE,0.0,0,Private,13437
MCINNIS,JAMES EDWARD,0.0,0,Sergeant,1345
MCDONALD,THOMAS WILLIAM,0.0,0,Private,1345
GREENHALGH,BERTRAND WILLIAM,0.0,0,Private,13459
BRONQUIST,GEORGE,0.0,0,Private,1346
CHRISTIE,GEORGE JOHN,0.0,0,Corporal,13460
CALDER,GEORGE,0.0,0,Sergeant,13463
CARTER,GEORGE WILLIAM,0.0,0,Private,13471
CREWE,JAMES,0.0,0,Private,13472
CAMPBELL,ALEXANDER,0.0,0,Private,13473
CLARK,FRANK REEVES,0.0,0,Private,13476
CHALMERS,THOMAS COUPER,0.0,0,Private,1348
DENNISON,JOSEPH,0.0,0,Private,13483
DIGNESS,JOHN,0.0,0,Private,13485
EDMONSTON,ARTHUR RODFORD BIOT,0.0,0,Private,13490
GOULD,ARTHUR FREDERICK,0.0,0,Private,13499
CORK,ALFRED BENJAMIN,0.0,0,Sergeant,135
GRBICH,SAMUEL,0.0,0,Private,13501
CURTIS,BERT,0.0,0,Private,135010
SAMMONS,FREDERICK O,0.0,0,Private,13502
HARDY,JOSEPH THOMPSON,0.0,0,Private,13504
WEST,HERBERT JOHN,0.0,0,Corporal,135058
CHAMBERS,SAMUEL,0.0,0,Private,135059
HOCKING,WILLIAM JOHN,0.0,0,Private,13506
HULBERT,HAROLD JOHN,0.0,0,Private,13507
PULLEN,LESLIE ANDERSON,0.0,0,Company Quarter Master Sergeant,135080
ARMSTRONG,GEORGE,0.0,0,Private,135092
ATKINS,JOHN HENRY,0.0,0,Private,135093
BARLOW,CARL,0.0,0,Private,135098
BELLAS,WILLIAM GRAHAM,0.0,0,Corporal,135099
SMITH,CHARLES,0.0,0,Private,1351
HENDERSON,JAMES,0.0,0,Private,13510
BECKETT,CHARLES,0.0,0,Private,135106
CANFOR,RICHARD JAMES,0.0,0,Private,135108
CRAIG,DAVID,0.0,0,Private,135121
DEARDEN,WILLIAM,0.0,0,Private,135126
DROZDOVSKY,KEITH,0.0,0,Private,135130
EDWARDS,LESLIE,0.0,0,Corporal,135133
ELDRIDGE,WILLIAM GEORGE,0.0,0,Sergeant,135134
FLINT,WILLIAM CORNWALL,0.0,0,Private,135138
KINNEY,THOMAS REDMOND,0.0,0,Private,13515
GRIMLEY,RICHARD,0.0,0,Private,135151
GROOM,JOHN WESLEY,0.0,0,Private,135152
HALL,GORDON STANLEY,0.0,0,Private,135155
KYLE,WILLIAM CHARLES,0.0,0,Private,13516
LAWRENCE,THOMAS HALDANE KERR,0.0,0,Private,13517
BROWN,JOHN,0.0,0,Private,13517
JACKSON,HARRY REGINALD,0.0,0,Private,135170
KARLSON,ERIK,0.0,0,Private,135173
KING,WILLIAM CHARLES JOSEPH,0.0,0,Private,135175
LEADER,CLIFFORD JOSHUA,0.0,0,Private,135179
LUBAR,GORDON MORRIS,0.0,0,Private,135182
MCINTYRE,ARCHIBALD MCCALLUM,0.0,0,Private,135188
ANNAN,ROBERT,0.0,0,Private,1352
PORTER,HUGH EDWARD DICK,0.0,0,Private,135209
ROBERTSON,SIDNEY,0.0,0,Private,135214
SEAR,BENJAMIN,0.0,0,Private,135219
WILLIAMS,FRANK,0.0,0,Private,135241
WILSON,FRANK RUSSELL,0.0,0,Private,135243
BROUGHTON,NORMAN SEPTIMUS,0.0,0,Private,135251
AVERILL,WILLIAM,0.0,0,Private,135256
BILLINGHAM,ALFRED,0.0,0,Lance Corporal,135260
BRADLEY,ALEXANDER,0.0,0,Private,135264
CERSWELL,GORDON LISTER,0.0,0,Private,135268
ELLSWORTH,FREDERICK,0.0,0,Private,135272
GRIFFITHS,GEORGE HENRY,0.0,0,Private,135275
PYE,DAVID,0.0,0,Private,135279
MACINTYRE,WILLIAM WALLACE,0.0,0,Private,13528
LONG,WILLIAM,0.0,0,Private,135290
MCRAE,HERMAN,0.0,0,Private,135293
PORTER,ARTHUR,0.0,0,Private,135299
MELVIN,JAMES,0.0,0,Private,13530
ROBINSON,FRED,0.0,0,Private,135303
SEARLE,LEONARD JOHN,0.0,0,Private,135307
TAYLOR,WALTER,0.0,0,Private,135313
TRIPP,GEORGE HENRY,0.0,0,Corporal,135315
WILSON,JAMES GILMOUR,0.0,0,Private,135318
MURRAY,THOMAS ERNEST,0.0,0,Private,13532
HEWSON,CHARLES ERNEST,0.0,0,Corporal,135322
MACKENZIE,RODERICK,0.0,0,Sergeant,135326
GOWER,FREDERICK,0.0,0,Company Sergeant Major,135328
MCKINLEY,JAMES,0.0,0,Sergeant,135339
BARNES,WILLIAM,0.0,0,Private,135346
BEALE,WILLIAM JOSEPH,0.0,0,Private,135348
HOBLEY,EDWARD WILLIAM,0.0,0,Private,135349
BRIGHT,WILLIAM,0.0,0,Private,135351
COWLEY,JOSEPH,0.0,0,Private,135356
COOKSON,FRANCIS ARMITAGE,0.0,0,Private,135357
SLOAN,THOMAS,0.0,0,Guardsman,13536
DAVIDSON,WILLIAM HENRY,0.0,0,Sergeant,135360
FRASER,DUNCAN,0.0,0,Private,135365
GERRARD,WILLIAM FRASER,0.0,0,Lance Corporal,135367
GORDON,JOHN,0.0,0,Corporal,135368
OSIPA,ANDREW ANTON,0.0,0,Private,13537
IRVING,ARCHIBALD PETTIGREW,0.0,0,Lance Corporal,135375
REYNOLDS,HOWARD,0.0,0,Private,135390
ROBERTSON,JOHN,0.0,0,Private,135392
SPENCE,HARRY,0.0,0,Sergeant,135398
SPICER,FREDERICK JAMES,0.0,0,Lance Corporal,135399
SMALL,WILLIAM,0.0,0,Private,1354
RANDELL,JAMES,0.0,0,Private,13540
THOMPSON,WILLIAM DAVID,0.0,0,Private,135403
WILSON,THOMAS RUSSELL,0.0,0,Private,135410
AGNEW,ROBERT,0.0,0,Private,135415
RAE,JAMES RENNIE,0.0,0,Private,13543
BOOKER,HAROLD GORDON,0.0,0,Private,135435
HAMMOND,JOHN BRUCE,0.0,0,Sapper,135439
BROWN,ARTHUR,0.0,0,Private,135442
CARRUTHERS,CHRISTOPHER,0.0,0,Sergeant,135445
CHAPMAN,ERNEST CHARLES,0.0,0,Private,135450
CROOK,WILLIAM,0.0,0,Private,135459
CUMMING,DAVID,0.0,0,Private,135461
DARRELL,WILLIAM,0.0,0,Private,135467
FRASER,DONALD,0.0,0,Private,135481
GRANT,ROGER ELCHIES,0.0,0,Private,135489
HARDING,FRANK,0.0,0,Sergeant,135493
HAMILTON,ARTHUR SAMUEL,0.0,0,Private,135494
HOILE,JOHN,0.0,0,Private,135497
LAING,GEORGE,0.0,0,Private,135506
LESLIE,WILLIAM GRANT,0.0,0,Private,135508
LOWE,JOSEPH ALBERT,0.0,0,Private,135511
LYTHE,HARRY,0.0,0,Private,135513
MACDONALD,FREDERICK WALTER,0.0,0,Private,135515
MARTIN,ANGUS LIVINGSTON,0.0,0,Private,135523
MURDOCH,GEORGE STEPHEN,0.0,0,Lance Corporal,135529
MCISAAC,DAVID,0.0,0,Lance Corporal,135536
MCKEE,GEORGE RICHARD,0.0,0,Private,135538
SARFF,CURTIS,0.0,0,Private,13554
PRIDDELL,HARRY STEPHEN,0.0,0,Private,135552
SUTHERLAND,JOHN CAMERON,0.0,0,Corporal,135581
TANNER,JOHN,0.0,0,Private,135584
THOMAS,GEORGE,0.0,0,Private,135585
VEATER,LEONARD THOMAS,0.0,0,Private,135591
WATT,WILLIAM,0.0,0,Private,135598
WHITLEY,MARCEL HENRY,0.0,0,Private,135601
WILD,REGINALD,0.0,0,Private,135602
WRIGHT,ARTHUR GEORGE,0.0,0,Private,135609
VEALE,ROBERT,0.0,0,Private,13561
MANDERS,HENRY JOHN,0.0,0,Sergeant,135613
PERRY,BERTIE REGINALD,0.0,0,Private,135624
KNIGHT,NORMAN CLIFFORD,0.0,0,Private,135627
ATKINSON,THOMAS SMITH,0.0,0,Private,135635
ANDERSON,DUNCAN LEADLIE,0.0,0,Private,135638
ARMITAGE,STANLEY,0.0,0,Sergeant,135639
WEVANG,PETER,0.0,0,Private,13565
BELL,HUGH DUNCAN,0.0,0,Private,135651
BRYSON,JAMES ROBERTSON,0.0,0,Private,135652
BIBBY,WILLIAM GEORGE,0.0,0,Private,135653
BINNS,FRED,0.0,0,Private,135654
WEST,WILLIAM,0.0,0,Private,13566
LOUGHI,CARSTEN WANDANGE,0.0,0,Sergeant,135668
CARTER,THEODORE,0.0,0,Private,135673
CALLINGHAM,WILLIAM CHARLES,0.0,0,Private,135678
COUPER,JAMES WHYTE,0.0,0,Private,135681
CROSSLEY,HENRY,0.0,0,Private,135682
DOWSETT,ALBERT,0.0,0,Private,135686
DAVIS,JOHN CHARLES,0.0,0,Private,135691
DOUGLAS,ERNEST ROGER,0.0,0,Private,135696
FORD,ARTHUR,0.0,0,Private,135703
FAIRLEY,ARCHIBALD GLENDINNING,0.0,0,Lance Corporal,135706
GOLDSTONE,EDWIN WILLIAM,0.0,0,Private,135709
GORDON,HERBERT,0.0,0,Private,135720
GOODIER,ALFRED,0.0,0,Private,135722
GREGG,JOHN,0.0,0,Private,135725
HOUGHTON,FRED,0.0,0,Private,135735
HOCKADAY,THOMAS WILLIAM,0.0,0,Private,135738
IRELAND,THOMAS,0.0,0,Private,135744
JOHNSON,ALFRED RAYMOND,0.0,0,Private,135747
JUKES,HAYDEN,0.0,0,Private,135749
JOHNS,LEWIS DAVIS,0.0,0,Private,135750
JONAS,EDWARD WALTER,0.0,0,Private,135754
KEENE,HARRY WILLIAM,0.0,0,Private,135761
KIRKNESS,CHARLES,0.0,0,Private,135762
KNIGHT,WILLIAM HAROLD,0.0,0,Private,135767
LARCOMBE,CHARLES PERCY,0.0,0,Private,135772
LING,ARTHUR,0.0,0,Private,135775
MAWSON,WILLIAM EWART,0.0,0,Private,135780
MARTIN,DAVID LEIGHTON,0.0,0,Private,135782
MORROW,ANDREW JOHNSTON,0.0,0,Corporal,135786
MURPHY,FRANCIS PARDEE,0.0,0,Private,135793
MILLER,GEORGE SMITH,0.0,0,Private,135794
MILLER,NIGEL,0.0,0,Private,135795
MARONEY,JAMES DENNIS,0.0,0,Private,135796
NEWMAN,JOHN THOMAS KILNER,0.0,0,Private,135816
O'HARA,HAROLD ROBERT,0.0,0,Corporal,135818
POSTLETHWAITE,FRANK,0.0,0,Private,135826
QUIRK,WALTER,0.0,0,Private,135829
DICKINS,ARTHUR HERBERT,0.0,0,Sergeant,13583
RIDDLESWORTH,ALBERT,0.0,0,Private,135832
TROTTER,EDWARD BURTON,0.0,0,Private,135833
ROBINSON,WILLIAM,0.0,0,Corporal,135833
ROGER,FRANK ARTHUR,0.0,0,Private,135835
SETFORD,ALBERT D,0.0,0,Private,135838
RYNEHART,JOSEPH THOMAS,0.0,0,Private,135843
SPENCE,HAROLD WILSON,0.0,0,Lance Corporal,135855
SUTTON,ARTHUR NORMAN,0.0,0,Corporal,135859
SMITH,FRANK,0.0,0,Private,135866
SCULLY,ERNEST,0.0,0,Private,135871
SANDERS,ERNEST LLOYD,0.0,0,Private,135872
TOMLINSON,JAMES,0.0,0,Private,135884
TWADDLE,JAMES PATRICK,0.0,0,Private,135886
THORNALLY,HARRY,0.0,0,Lance Corporal,135890
VARDER,LESLIE,0.0,0,Private,135891
WOOLGER,SIDNEY FREDERICK,0.0,0,Private,135897
WARNER,WILLIAM JAMES,0.0,0,Private,135908
ROSS,WILLIAM,0.0,0,Private,135913
BOTSFORD,CHAUNCEY ALBERT,0.0,0,Sergeant,135916
MACDOUGALL,JOHN,0.0,0,Sergeant,13592
HEIGHWAY,HENRY,0.0,0,Private,135922
JOHNSTONE,ROBERT SUTHERLAND,0.0,0,Private,135924
MCCLURE,THOMAS JOSEPH,0.0,0,Private,135930
WOODWARD,OLIVER,0.0,0,Lance Corporal,135947
DAY,GEORGE FREDERICK,0.0,0,Corporal,135952
BROWN,HENRY JAMES,0.0,0,Sergeant,135958
BARTLE,FRANCIS JOHN,0.0,0,Private,135971
BECKWITH,JOHN ALBERT,0.0,0,Private,135974
BEWSEY,BENJAMIN,0.0,0,Private,135978
BRIDGES,HENRY BERTRAM,0.0,0,Private,135988
BROWN,FRED RUSSELL,0.0,0,Sergeant,135989
BUTT,HERBERT RICHARD,0.0,0,Private,135991
COOK,WILLIAM HENRY,0.0,0,Private,135997
BLOOMER,JOHN JAMES,0.0,0,Trooper,136
ROACH,WILLIAM HENRY,0.0,0,Private,1360
CROWE,GEORGE RENNY,0.0,0,Private,136000
DAVEY,ROBERT,0.0,0,Private,136006
DELAVIGNE,FRANCIS VIVIAN VINE,0.0,0,Private,136008
EAST,EDWARD JAMES,0.0,0,Private,136016
EDMONDS,ALFRED,0.0,0,Private,136017
ELLIS,WALTER EDWIN,0.0,0,Private,136021
FENTON,WILLIAM RAMSAY,0.0,0,Private,136023
GARBETT,CHARLES,0.0,0,Private,136029
GOLLOGLY,FRANCIS,0.0,0,Private,136035
GORMANN,GEORGE FREDERICK,0.0,0,Private,136036
BEATSON,WALTER ROSS,0.0,0,Private,13605
HARVEY,FREDERICK JOHN,0.0,0,Private,136052
HOWARTH,ARTHUR,0.0,0,Private,136059
JENKINS,THOMAS RICHARD,0.0,0,Private,136067
KENSETT,GEORGE JAMES,0.0,0,Sergeant,136074
MCCANN,JAMES,0.0,0,Sergeant,136086
MCGAFFIN,JAMES,0.0,0,Private,136088
MCGAFFIN,ROBERT SLOANE,0.0,0,Private,136090
MCMAHON,THOMAS,0.0,0,Corporal,136094
MAY,JAMES,0.0,0,Private,136097
MORTON,ROBERT POOLEY,0.0,0,Pioneer,136103
PERKINS,HARRY,0.0,0,Lance Corporal,136114
PICK,CHARLES WILLIAM,0.0,0,Private,136116
PLUMMER,HENRY,0.0,0,Private,136117
PORTEOUS,WILLIAM FREDRICK,0.0,0,Private,136118
RALPH,WALTER,0.0,0,Private,136120
ROSS,HUGH,0.0,0,Private,136126
SAUNDERS,FREDERIC,0.0,0,Private,136128
SCHULTZ,TALBOT JOHN,0.0,0,Private,136129
BROUGHTON,COLIN RAMSAY,0.0,0,Lance Corporal,13613
SIMPSON,ARCHIBALD,0.0,0,Private,136135
SMITH,ALFRED LAWRENCE,0.0,0,Private,136138
SMITH,WILLIAM HENRY,0.0,0,Private,136139
STOLLARD,HERBERT THOMAS,0.0,0,Private,136146
BURRINGTON,HARLEY,0.0,0,Private,13615
TRAYNOR,EDWARD,0.0,0,Private,136153
WALTERS,WILLIAM,0.0,0,Private,136162
WHITBY,SYDNEY,0.0,0,Private,136167
WILLERTON,ARTHUR,0.0,0,Private,136171
ROGERS,JOHN,0.0,0,Private,136183
GRAY,GILBERT ARTHUR,0.0,0,Private,136189
CLARK,EDWARD,0.0,0,Private,13619
BROWN,HAROLD JOSEPH,0.0,0,Private,136200
BURT,GEORGE EDWARD,0.0,0,Private,136201
BYERS,ALBERT,0.0,0,Private,136202
HALLIDAY,GEORGE WILLIAM,0.0,0,Private,136215
KENNEDY,RICHARD ROBB,0.0,0,Lance Serjeant,136220
RAWLINSON,ARTHUR WILLIAM,0.0,0,Private,136232
TAYLOR,SAMUEL,0.0,0,Sergeant,136240
UNTHANK,RICHARD PETER,0.0,0,Private,136243
DONALDSON,JAMES KNOX,0.0,0,Private,136255
DUGGAN,TIMOTHY AUGUSTINE,0.0,0,Private,136256
ELLIOTT,WILLIAM,0.0,0,Private,136257
