Lname,Fname,Freq,Times,Rank,Regiment
HALLAM,ERNEST WALTER,0.0,0,Captain,
HART-MCHARG,WILLIAM FREDERICK RICHARD,0.0,0,Lieutenant Colonel,
HARVEY,ROBERT VALENTINE,0.0,0,Captain,
HAY,DOUGLAS ARCHIBALD,0.0,0,Flight Sub Lieutenant,
HEARNDEN,HARRY CRESPIN STEPHENS,0.0,0,Lieutenant,
HELLIWELL,JOSEPH GRANT,0.0,0,Captain,
HELMER,ALEXIS HANNUM,0.0,0,Lieutenant,
HIGGIN,JAMES LAWRENCE,0.0,0,Captain,
HIGGINSON,JOHN LUCAS,0.0,0,Captain,
HIGGS,LESLIE,0.0,0,Sergeant,
HIGINBOTHAM,GEORGE M,0.0,0,Major,
HILTZ,HARRY,0.0,0,Private,
HOARE,JOCELYN,0.0,0,Lance Corporal,
HODGINS,CHARLES FRANCIS BURGOYNE,0.0,0,Second Lieutenant,
HOLMES,CARLETON COLQUHOUN,0.0,0,Lieutenant,
HOOK,DUNCAN,0.0,0,Lieutenant,
HOOK,ROBIN,0.0,0,Second Lieutenant,
HORNBY,GEOFFREY,0.0,0,Lieutenant,
HOSKINS,RONALD,0.0,0,Lieutenant,
HOW,HAROLD,0.0,0,Lieutenant,
HUGHES,CHESTER,0.0,0,Lieutenant,
HUNT,RONALD FRANCIS,0.0,0,Second Lieutenant,
HYDE,LESLIE ARTHUR,0.0,0,Second Lieutenant,
HYNDMAN,THOMAS MACAULEY,0.0,0,Captain,
INGLES,GEORGE LEYCESTER,0.0,0,Chaplain 4th Class,
INNES-HOPKINS,JAMES RUDOLPH,0.0,0,Captain,
IRWIN,DE WITT OSCAR,0.0,0,Captain,
JAGGARD,JESSIE BROWN,0.0,0,Matron,
JAMES,CECIL ARTHUR,0.0,0,Lieutenant,
JAMESON,GEORGE WILLIS,0.0,0,Captain,
JANIN,GEORGE ALEX FRANCIS ROMAIN,0.0,0,Major,
JARVIS,WILLIAM DUMMER POWELL,0.0,0,Lieutenant,
JESSOP,NAPIER ARNOTT,0.0,0,Lieutenant,
JONES,HENRY CHARLES,0.0,0,Lieutenant,
JONES,MCCULLOCH HILL,0.0,0,Lieutenant,
KELLY,EDWARD THOMAS,0.0,0,Major,
KELLY,ROBERT,0.0,0,Lieutenant Colonel,
KENNEDY,JOHN NASSAU CHAMBERS,0.0,0,Major,
KENWORTHY,JOHN GIBSON,0.0,0,Lieutenant,
KERR,HERBERT GLADSTONE,0.0,0,Lieutenant,
KERR,JOHN ROY,0.0,0,Private,
KIMMINS,ALBERT EDWARD,0.0,0,Major,
KING-MASON,CHARLES GEORGE DALEGARTH,0.0,0,Lieutenant,
KIRKPATRICK,ALEXANDER DOUGLAS,0.0,0,Lieutenant,
KLOTZ,HERBERT NORMAN,0.0,0,Lieutenant,
LANGMUIR,GAVIN INCE,0.0,0,Lieutenant,
LARIVIER,JOHN,0.0,0,Private,
LATTA,ROBERT PETER,0.0,0,Lieutenant,
LAURIE,GEORGE BRENTON,0.0,0,Lieutenant Colonel,
LAWRENCE,MALCOLM EYTON,0.0,0,Lieutenant,
LAWSON,CHARLES MURRAY,0.0,0,Lieutenant,
LE THICKE,GERALD MANN,0.0,0,Second Lieutenant,
LEACROFT,RICHARD FREDERICK,0.0,0,Second Lieutenant,
LEES,GERALD OSCAR,0.0,0,Captain,
LEWIS,STANLEY EDWARD,0.0,0,Lieutenant,
LINDSAY,ARTHUR LODGE,0.0,0,Lieutenant,
LOCKHART,THOMAS DOWNIE,0.0,0,Lieutenant,
LORING,ROBERT NELE,0.0,0,Second Lieutenant,
MACDONALD,JOHN WILLIAM,0.0,0,Lieutenant,
MACDONALD,MADO DANIEL,0.0,0,Lieutenant,
MACGREGOR,ARCHIBALD ROBERT,0.0,0,Captain,
MACKAY,ALEXANDER HENRY,0.0,0,Lieutenant,
MACKAY,DONALD ROY,0.0,0,Captain,
MACKENZIE,GORDON ALEXANDER GORDON,0.0,0,Lieutenant,
MACKENZIE,HENRY PIERCE,0.0,0,Captain,
MACKENZIE,WALLACE ALEXANDER,0.0,0,Lieutenant,
MACMASTER,DONALD CAMERON DEFORD,0.0,0,Lieutenant,
MACNAB,JAMES,0.0,0,Second Lieutenant,
MACPHERSON,ARTHUR VINCENT CLARESHOLM,0.0,0,Lieutenant,
MANSFIELD,ROBERT,0.0,0,Captain,
MARKHAM,RALPH FARRAR,0.0,0,Captain,
MATHER,JOHN WILFRED,0.0,0,Captain,
MAUNSELL,HERBERT S,0.0,0,Lieutenant,
MAVETY,JOHN LE ROY,0.0,0,Lieutenant,
MCCOLL,DOUGLAS CHAMBERS,0.0,0,Lieutenant,
MCCORMICK,ROBERT,0.0,0,Private,
MCCREARY,SAMUEL EDGAR,0.0,0,Corporal,
MCGEE,CHARLES EDWARD,0.0,0,Captain,
MCGREGOR,JAMES HERRICK,0.0,0,Captain,
MCGUIRE,HARRY BOULTON,0.0,0,Lieutenant,
MCLAREN,JOSEPH,0.0,0,Major,
MCLEOD,HARVEY GARFIELD,0.0,0,Major,
MCMEANS,ERNEST D'HARCOURT,0.0,0,Captain,
MEDLAND,FREDERICK ROSS,0.0,0,Lieutenant,
