Lname,Fname,Freq,Times
ACQUAFREDDO,null,1.608762E-6,1,null
ACQUIN,null,1.608762E-6,1,null
ACRE,null,1.608762E-6,1,null
ACREMAN,null,8.043809E-6,5,null
ACRES,null,6.435048E-6,4,null
ACRET,null,1.608762E-6,1,null
ACTEKA,null,1.608762E-6,1,null
ACTESON,null,4.826286E-6,3,null
ACTON,null,7.7220575E-5,48,null
ACTWORTH,null,1.608762E-6,1,null
ACUTT,null,3.217524E-6,2,null
ACWORTH,null,1.608762E-6,1,null
ADAIR,null,1.5283239E-4,95,null
ADAM,null,1.7213753E-4,107,null
ADAMAITY,null,1.608762E-6,1,null
ADAMAKOS,null,1.608762E-6,1,null
ADAMASKI,null,1.608762E-6,1,null
ADAMCHICK,null,1.608762E-6,1,null
ADAMCHUK,null,1.608762E-6,1,null
ADAMES,null,3.217524E-6,2,null
ADAMI,null,1.608762E-6,1,null
ADAMIC,null,1.608762E-6,1,null
ADAMICKY,null,1.608762E-6,1,null
ADAMIEC,null,1.608762E-6,1,null
ADAMONES,null,1.608762E-6,1,null
ADAMOUSKI,null,1.608762E-6,1,null
ADAMOVICH,null,1.608762E-6,1,null
ADAMS,null,0.001418928,882,null
ADAMSKY,null,1.608762E-6,1,null
ADAMSON,null,1.9144267E-4,119,null
ADAMTHWAITE,null,3.217524E-6,2,null
ADAMYK,null,1.608762E-6,1,null
ADANK,null,1.608762E-6,1,null
ADARE,null,3.217524E-6,2,null
ADCOCK,null,2.8957715E-5,18,null
ADCOE,null,1.608762E-6,1,null
ADDENBROOKE,null,1.608762E-6,1,null
ADDERLEY,null,1.7696382E-5,11,null
ADDERLY,null,1.608762E-6,1,null
ADDICOTT,null,3.217524E-6,2,null
ADDIE,null,6.435048E-6,4,null
ADDINALL,null,1.608762E-6,1,null
ADDINELL,null,4.826286E-6,3,null
ADDINGTON,null,3.217524E-6,2,null
ADDIS,null,1.6087619E-5,10,null
ADDISON,null,1.01352E-4,63,null
ADDLETON,null,1.608762E-6,1,null
ADDLEY,null,1.4478857E-5,9,null
ADDONIZIO,null,1.608762E-6,1,null
ADDUDDELL,null,1.608762E-6,1,null
ADDY,null,3.0566476E-5,19,null
