Lname,Fname,Freq,Times
BEAMES,null,1.5210513E-5,1,null
BEAN,null,1.5210513E-5,1,null
BEARD,null,1.5210513E-5,1,null
BEARDMORE,null,1.5210513E-5,1,null
BEASTALL,null,1.5210513E-5,1,null
BEATLEY,null,1.5210513E-5,1,null
BEATON,null,1.5210513E-5,1,null
BEATS,null,1.5210513E-5,1,null
BEATTIE,null,4.563154E-5,3,null
BEATTY,null,3.0421026E-5,2,null
BEAUDIN,null,1.5210513E-5,1,null
BEAULIEU,null,1.5210513E-5,1,null
BEAUMONT,null,1.5210513E-5,1,null
BECHER,null,3.0421026E-5,2,null
BEECROFT,null,1.5210513E-5,1,null
BEGG,null,1.5210513E-5,1,null
BEITH,null,1.5210513E-5,1,null
BEKEN,null,1.5210513E-5,1,null
BELANGER,null,3.0421026E-5,2,null
BELCHER,null,1.5210513E-5,1,null
BELEY,null,1.5210513E-5,1,null
BELFIELD,null,1.5210513E-5,1,null
BELL,null,1.0647359E-4,7,null
BELL-IRVING,null,1.5210513E-5,1,null
BELLAMY,null,3.0421026E-5,2,null
BELLINGER,null,1.5210513E-5,1,null
BELLIS,null,1.5210513E-5,1,null
BENDALL,null,1.5210513E-5,1,null
BENFIELD,null,1.5210513E-5,1,null
BENHAM,null,1.5210513E-5,1,null
BENNALLACK,null,1.5210513E-5,1,null
BENNETT,null,7.6052565E-5,5,null
BENSON,null,1.5210513E-5,1,null
BENTLEY,null,4.563154E-5,3,null
BERARD,null,1.5210513E-5,1,null
BERKELEY,null,1.5210513E-5,1,null
BERRY,null,3.0421026E-5,2,null
BERTHIAUME,null,1.5210513E-5,1,null
BERTIN,null,1.5210513E-5,1,null
BESWICK,null,1.5210513E-5,1,null
BETTS,null,6.0842052E-5,4,null
BEVAN,null,3.0421026E-5,2,null
BEWSHER,null,1.5210513E-5,1,null
BEYNON,null,1.5210513E-5,1,null
BICKERSTAFF,null,1.5210513E-5,1,null
BICKFORD,null,3.0421026E-5,2,null
BICKNELL,null,1.5210513E-5,1,null
BIGGER,null,1.5210513E-5,1,null
BIGGS,null,3.0421026E-5,2,null
BIGHAM,null,1.5210513E-5,1,null
BILLINGS,null,1.5210513E-5,1,null
BILLSON,null,1.5210513E-5,1,null
BILSLAND,null,1.5210513E-5,1,null
BINGHAM,null,3.0421026E-5,2,null
BINKLEY,null,1.5210513E-5,1,null
BINKS,null,1.5210513E-5,1,null
BIRCH,null,4.563154E-5,3,null
