Lname,Fname,Freq,Times
ARKWELL,WILLIAM JOSEPH,1.5210513E-5,1,Private
ARMSTRONG,ALBERT PERCY,1.5210513E-5,1,Private
ARMSTRONG,CECIL,1.5210513E-5,1,Private
ARMSTRONG,CHARLES JEROME,1.5210513E-5,1,Private
ARMSTRONG,ELLERAY FRANK,1.5210513E-5,1,Lance Corporal
ARMSTRONG,JAMES,1.5210513E-5,1,Private
ARMSTRONG,VICTOR,1.5210513E-5,1,Private
ARNELL,JAMES ALEXANDER,1.5210513E-5,1,Private
ARNELL,JOHN DAVID,1.5210513E-5,1,Private
ARNOLD,RUSSELL KIRBY,1.5210513E-5,1,Private
ARNOLD,THOMAS,1.5210513E-5,1,Corporal
ARNOLD,WILLIAM BRUBYN,1.5210513E-5,1,Private
ARNOLD,WILLIAM EDWARD,1.5210513E-5,1,Sergeant
ARTHUR,GEORGE E,1.5210513E-5,1,Private
ARTHURS,JAMES W,1.5210513E-5,1,Private
ARUNDELL,JOHN D'AUVERQUE HARRIS,1.5210513E-5,1,Sergeant
ARWINE,MARION NEWTON,1.5210513E-5,1,Private
ASBURY,ARTHUR GERARD,1.5210513E-5,1,Sapper
ASCROFT,THOMAS,1.5210513E-5,1,Private
ASH,REGINALD ALFRED,1.5210513E-5,1,Private
ASHCROFT,STEPHEN,1.5210513E-5,1,Private
ASHE,WILLIAM HENRY,1.5210513E-5,1,Private
ASHER,HERBERT,1.5210513E-5,1,Private
ASHER,WALTER,1.5210513E-5,1,Private
ASHFORD,THOMAS,1.5210513E-5,1,Private
ASHLEE,ALLAN,1.5210513E-5,1,Private
ASHTON,HAROLD,1.5210513E-5,1,Private
ASHTON,ROBERT JAMES,1.5210513E-5,1,Private
ASHWORTH,SAMUEL HARRY,1.5210513E-5,1,Private
ASPINWALL,ALFRED DOUGLAS,1.5210513E-5,1,Private
ATKINSON,FRED,1.5210513E-5,1,Private
ATKINSON,HAROLD,1.5210513E-5,1,Private
ATKINSON,ROBERT CECIL,1.5210513E-5,1,Private
ATTENBOROUGH,JOHN,1.5210513E-5,1,Private
ATTON,WILLIAM,1.5210513E-5,1,Sergeant
ATTREE,BENJAMIN RUPERT,1.5210513E-5,1,Private
