LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
HANEY,BERNARD DAVID,HENY,BERNARD,178239,178239,Private,0
HINTON,THOMAS,HINTEN,THOMAS,1306,1306,Private,0
HOLT,JAMES HENRY,HENRY,JAMES,68079,68079,Private,0
HURLBURT,PETER COWIE,HURLBERT,PETER COWIE,452450,452450,Private,0
HUTON,D'ARCY WENTWORTH,HUTTON,D'ARCY WENTWORTH,440948,440948,Private,0
JASKALA,ANTON,JASKALE,ANTON,437374,437374,Private,0
JOBLING,RICHARD,JOBLIN,RICHARD,108311,108311,Private,0
JULLER,HARRY STRATIS,JULLEY,HARRY STRATIS,443146,443146,Private,0
KLIMUCK,OSIP,KLEMUCK,OSIP,442703,442703,Private,0
KLUBOX,JOHN,KLUBOK,JOHN,145873,145873,Private,0
KONONUK,ALEX,KONONUKE,ALEX,931244,931244,Private,0
KOZAKEVITCH,MATVEI,KOZAKEWICK,MATVEI,417124,417124,Private,0
LAFAVE,JOSEPH EDWARD,LEFAVE,JOSEPH EDWARD,81506,81506,Corporal,0
LAMADELEINE,ARTHUR,LAMADELLINE,ARTHUR,416718,416718,Private,0
LARSEN,ARNOLDIS,LARSON,ARNOLDIS,181143,181143,Private,0
LE BALLISTER,JAMES HENRY,LEBALLISTER,JAMES HENRY,455567,455567,Private,0
LE BLANC,JOSEPH,LEBLANC,JOSEPH,460107,460107,Private,0
LE FRANCOIS,PHILLIPPE,LEFRANCOIS,PHILIPPE,417922,417922,Private,0
LE GRAND,ARTHUR PHILIP,LEGRAND,ARTHUR,110312,110312,Private,0
LE LACHEUR,ARTHUR WILBERT,LELACHEUR,ARTHUR WILBERT,177647,177647,Private,0
LE ROUGETEL,BERTRAM,LEROUGETEL,B,477535,477535,Corporal,0
LECLERC,ROGER,LECLAIR,ROGER,437162,437162,Private,0
MACCUSWORTH,ARTHUR FRED,MCCUSWORTH,ARTHUR,177244,177244,Corporal,0
MACDONALD,DONALD,MCDONALD,DONALD,629503,629503,Corporal,0
MACDONALD,HARRY CAMPBELL,MCDONALD,HARRY CAMPBELL,85757,85757,Corporal,0
MACDONALD,JOHN,MCDONALD,JOHN,161157,161157,Private,0
MACDONALD,WALTER JOSEPH,MCDONALD,WALTER JOSEPH,736993,736993,Private,0
MACEACHERN,WARREN,MCEACHERN,WARREN,67060,67060,Private,0
MACFARLANE,WILLIAM,MCFARLANE,WILLIAM,1695,1695,Private,0
MACINTYRE,JOHN WILLIAM,MCINTYRE,JOHN WILLIAM,68338,68338,Private,0
MACKAY,JOHN ALEXANDER,MCKAY,JOHN,452013,452013,Private,0
MACKENZIE,DONALD,MCKENZIE,DONALD,425141,425141,Private,0
MACKENZIE,GEORGE CAMPBELL,MCKENZIE,GEORGE CAMPBELL,419051,419051,Private,0
MACKINNON,ALEXANDER,MCKINNON,ALEX BENEDICT,415290,415290,Private,0
MACKINNON,LAUCHLIN JAMES,MCKINNON,LAUGHLIN JAMES,817124,817124,Private,0
MACLEAN,IVAN,MCLEAN,IVAN,79533,79533,Private,0
MACLEAN,JAMES ALFRED,MCLEAN,JAMES ALFRED,105510,105510,Private,0
MACLENNAN,KENNETH,MCLENNAM,KENNETH FINLAYSON,51049,51049,Private,0
MACLENNAN,NORMAN,MCLENNAN,NORMAN,427017,427017,Private,0
MACORMACK,STANLEY,MACCORMACK,STANLEY,83971,83971,Corporal,0
MACPHERSON,NEIL ALEXANDER,MCPHERSON,NEIL ALEXANDER,469862,469862,Private,0
MACQUARRIE,JOHN,MCQUARRIE,JOHN,46514,46514,Private,0
MACQUARRIE,MALCOLM WILLIAM,MCQUARRIE,MALCOLM WILLIAM,68274,68274,Lance Corporal,0
MACRAE,WILLIAM,MCRAE,WILLIAM,405630,405630,Private,0
MACWILLIAM,WILLIAM ANDREW,MCWILLIAM,WILLIAM ANDREW,13261,13261,Private,0
MCCANN,JOHN,MURPHY,JAMES,2829,2829,Sapper,0
MCCARVEL,JAMES JOHN,MCCARVELL,JAMES JOHN,107383,107383,Sergeant,0
MCDONALD,DONALD,MACDONALD,DONALD,902070,902070,Private,0
MCDONALD,KENNETH,MACDONALD,KENNETH,66267,66267,Private,0
MCDONALD,NORMAN,MACDONALD,NORMAN,160778,160778,Private,0
MCEWAN,WILLIAM,MCEWEN,WILLIAM,452476,452476,Sergeant,0
MCINNES,DANIEL JOHN,MCINNIS,DANIEL JOSEPH,187114,187114,Private,0
MCKITTERICK,DAVID,MCKITTRICK,DAVID,437974,437974,Private,0
MCLAUCHLIN,ROBERT,MCLAUGHLIN,ROBERT,477647,477647,Private,0
MCLEOD,MURDOCH,MACLEOD,MURDOCH M,400668,400668,Private,0
MCTOMNEY,SOLOMAN JOHN,MCTONNEY,SOLOMON JOHN,130015,130015,Private,0
MELESKI,MARKO,MELESKY,MARKO,449380,449380,Private,0
METELRA,ALEXANDER,METELKA,ALEXANDER,214359,214359,Private,0
NICHOLS,JAMES,NICHOLAS,JAMES,100660,100660,Private,0
O'BRIEN,AVARD,OBRIEN,AVARD,477680,477680,Lance Corporal,0
O'BRIEN,GEORGE,OBRIEN,GEORGE,71298,71298,Corporal,0
O'BRIEN,JAMES FRANCIS,OBRIEN,JAMES FRANCIS,41572,41572,Sergeant,0
O'BRIEN,JOHN,OBRIEN,JOHN,73397,73397,Lance Corporal,0
O'BRIEN,THOMAS JOSEPH,OBRIEN,THOMAS JOSEPH,65741,65741,Private,0
O'BRIEN,WILLIAM JAMES,OBRIEN,WILLIAM JAMES,444245,444245,Private,0
O'BYRNE,JOHN LAWRENCE,OBYRNE,JOHN L,145294,145294,Private,0
O'CALLAGHAN,EDWIN,OCALLAGHAN,EDWARD,1033068,1033068,Private,0
O'CONNELL,CHARLES,OCONNELL,CHARLES W,53372,53372,Company Sergeant Major,0
O'CONNELL,JEREMIAH,OCONNELL,JEREMIAH,470029,470029,Private,0
O'CONNOR,JAMES,OCONNOR,JAMES,180972,180972,Private,0
O'CONNOR,JOHN MARTIN JAMES,OCONNOR,JOHN MARTIN JAMES,132607,132607,Private,0
O'CONNOR,JOSEPH,OCONNOR,JOSEPH,219939,219939,Private,0
O'CONNOR,WILLIAM,OCONNOR,WILLIAM,105053,105053,Private,0
O'CONNOR,WILLIAM,OCONNOR,WILLIAM,65742,65742,Private,0
O'CONNORS,JOHN,OCONNORS,JOHN,133067,133067,Private,0
O'DONNELL,GEORGE ROBERT,ODONNELL,GEORGE ROBERT,228491,228491,Private,0
O'DROWSKY,ROBERT STANISLAUS,ODROWSKY,ROBERT STANISLAUS,127547,127547,Private,0
O'FLYNN,D'ARCY ALGERNON CUTHBERT,OFLYNN,DARCY ALGIMON CUTHBERT,629637,629637,Sergeant,0
O'HANDLEY,JAMES,OHANDLEY,JAMES,469635,469635,Sapper,0
O'HANDLEY,JOHN,OHANDLEY,JOHN,69737,69737,Private,0
O'HARA,JOSEPH,OHARA,JOSEPH,177327,177327,Private,0
O'HARA,LESTER CONWELL,OHARA,LESTER CONWELL,469981,469981,Private,0
O'HARA,WILLIAM,OHARA,WILLIAM,466214,466214,Private,0
O'HARA,WILLIAM,OHARA,WILLIAM,63695,63695,Sapper,0
O'HARE,PATRICK,OHARE,PATRICK,142538,142538,Private,0
O'KEEFE,HARRY,OKEEFE,HARRY,136576,136576,Private,0
O'LEARY,CHARLES HERBERT,OLEARY,CHARLES,59762,59762,Lance Corporal,0
O'LEARY,HARVEY,OLEARY,HARVEY,169012,169012,Private,0
O'MEARA,ALFRED,OMEARA,ALFRED,475334,475334,Private,0
O'MEARA,MICHAEL PATRICK,OMEARA,MICHAEL,142121,142121,Private,0
O'NEIL,CLIFFORD JAMES,ONEIL,CLIFFORD JAMES,410163,410163,Private,0
O'NEILL,LEWIS,ONEILL,LEWIS,164463,164463,Private,0
O'NEILL,PATRICK JOSEPH,ONEILL,PATRICK JOSEPH,410572,410572,Corporal,0
O'REILLY,PATRICK,OREILLY,PATRICK,163976,163976,Sapper,0
O'REILLY,WILLIAM JOSEPH,OREILLY,WILLIAM JOSEPH,455167,455167,Private,0
O'ROURKE,EDWARD,OROURKE,EDWARD,132288,132288,Private,0
OLIVE,CHARLES JOHN,OLIVER,CHARLES J,136368,136368,Private,0
ORD,JAMES SMITH,OERD,JAMES,152604,152604,Private,0
OXMAN,JOHN,OXNAM,JOHN,629559,629559,Private,0
PATERSON,WILLIAM,PATTERSON,WILLIAM,75373,75373,Private,0
PESTERNEK,RUDOLF,PESTRNEK,RUDOLPH,100638,100638,Private,0
PETTIT,CORNELIUS,PETTITT,CORNELIUS,478900,478900,Private,0
PROCTOR,HARRIS,PROCTER,HARRIS,700971,700971,Private,0
PROCTOR,LESLIE WILLIAM,PROCTER,LESLIE WILLIAM,430935,430935,Gunner,0
QUIN,JOHN,QUINN,JOHN,442910,442910,Private,0
RAMDAL,LEO,RAINDAL,LEO KRISTIAN SOREN,121855,121855,Private,0
RAMSAY,JOSEPH GEORGE,RAMSEY,JOSEPH GEORGE,90307,90307,Bombardier,0
RIDEAL,WILLIE,RIDDELL,WILLIAM FRED,59835,59835,Private,0
SEELEY,WILLIE,SEELY,WILLIE,425301,425301,Private,0
SHARP,CHARLES JACKSON,SHARPE,CHARLES JACKSON,423109,423109,Private,0
SHARP,FRED,SHARPE,FRED,148221,148221,Sergeant,0
SMITTON,SAMUEL,SMITTEN,SAMUEL,477862,477862,Lance Corporal,0
SMYTH,BERNARD HENRY,SMITH,BERNARD HENRY,408533,408533,Private,0
SPENCER-SMITH,HERBERT,SMITH,HERBERT SPENCER,433039,433039,Private,0
STREETON,JAMES,STRUTON,JAMES,425379,425379,Private,0
THIBEAULT,ALCIDE,THIBAULT,ALCIDE,23060,23060,Private,0
THUESEN,THUE HANS,THUESON,THUE HANS,442829,442829,Private,0
VAN AUDENARDE,PHILIP,VANAUDENARDE,PHILIP,307726,307726,Driver,0
VAN TASSEL,WALTER,VANTASSEL,WALTER,70009,70009,Private,0
VAN WESSEM,CHRISTIAN JACOB,VANWESSEM,CHRISTIAN JACOB,471075,471075,Private,0
VANDER-HAYDEN,FLORIAN,VANDERHAYDEN,FLORIAN,65999,65999,Private,0
VILLENEWE,ABEL,VILLENEUVE,ABEL,61688,61688,Private,0
VIPON,HORATIO NELSON,VIPOND,HORATIO,126050,126050,Private,0
WELCK,ALBERT FRED,WELCH,ALBERT FRED,105743,105743,Private,0
WHITTL,EDWIN,WHITTLE,EDWIN,117624,117624,Sergeant,0
WIBERG,EDWARD FREDERICK,WIBERY,EDWARD FREDERICK,101720,101720,Private,0
WILCOCK,THOMAS,WILLCOCK,THOMAS,14935,14935,Private,0
WILCOCK,WILLIAM HENRY,WILCOX,WILLIAM HENRY,171554,171554,Private,0
WILDGOOSE,ARTHUR,WILD,ARTHUR,447244,447244,Private,0
ABBOT,DAVID,ABBOTT,DAVID,228447,228447,Private,0
AITCHISON,ERNEST LAVERN,AITCHESON,ERNEST,305051,305051,Driver,0
ANDERSEN,CHRISTIAN,ANDERSON,CHRISTIAN,781008,781008,Private,0
ARSNEAU,GILBERT,ARSENEAU,GILBERT,414531,414531,Private,0
BAIRD (SCOTT),JAMES,BAIRD,JAMES,552838,552838,Private,0
BEUTLICH-MILLAR,FINLAY,BEUTLICH-MILLER,FINLEY,228386,228386,Private,0
BLEAKLY,JAMES ALEXANDER,BLEAKLEY,JAMES ALEXANDER,624781,624781,Private,0
BOCHEL,JAMES,BACHEL,JAMES,505100,505100,Sapper,0
BODEN,ALBERT EBENEZER,BODEM,ALBERT EBENEZER,126267,126267,Private,0
BUTTAZONI,ANTONIO,BUTTAZZONI,ANTONIE,657019,657019,Private,0
CAPEWELL,JOSEPH THOMAS,CAPEWLL,JOSEPH THOMAS,799605,799605,Private,0
CAPPUCCI,NAZZARENO,CAPUCCI,NAZARENO,808928,808928,Private,0
CARLE,RICHARD PROSPER,CARLI,RICHARD PROSPER,117178,117178,Corporal,0
CARTER,JOHN HORACE,CLIMO,JOHN COLIN,1632,1632,Private,0
CLARK,JOHN DUFF,CARSON,JOSEPH,1519,1519,Trooper,0
CLARK,STANLEY,CLARKE,STANLEY,443130,443130,Lance Corporal,0
CLARKE,ARCHIE,CLARK,ARCHIE,901079,901079,Private,0
COLMAN,ALBERT,COLEMAN,ALBERT,907161,907161,Private,0
CORNWELL,HARRY,CORNWALL,HENRY,458179,458179,Private,0
D'ARCY,DE VERE EDWARD,DARCY,DEVERE EDWARD,222879,222879,Private,0
D'ENTREMONT,WILLIAM RODOLPHE,DENTREMONT,WILLIAM RUDOLPH,734404,734404,Private,0
DE LA COURNEWE,MONTAGU,DELACOURNEUVE,MONTAGUE T,192398,192398,Private,0
DE LEENHEER,NAPOLEON,DELEENHEER,NAPOLEON,688282,688282,Private,0
DE LEPELEER,ALPHONSE,DELEPELEER,ALPHONSE,925859,925859,Private,0
DE LONG,MARK LORNE,DELONG,MARK LORNE,931212,931212,Private,0
DE MILL,FRANK,DEMILL,FRANK,540352,540352,Private,0
DE MONT,ROBERT BENNETT,DEMONT,ROBERT,222737,222737,Private,0
DE TONKEY,CLARENCE,DETONKEY,CLARENCE,657143,657143,Private,0
DE WOLFE,HENRY BURTON,DEWOLFE,HENRY B,475473,475473,Private,0
DUNN,THORNTON WANLACE,DEWAR,THOMAS HAMILTON,181,181,Private,0
ENDRESS,RICHARD FULLER,ENDRESSE,RICHARD FULLER,208345,208345,Lance Corporal,0
EREAUT,GORDON STEWART,EREANT,GORDON,129398,129398,Sergeant,0
FENNELE,WILLIAM JAMES,FENNELL,WILLIAM JAMES,895175,895175,Private,0
FENSON,ERNEST,FENSOM,ERNEST,172173,172173,Private,0
FITZHENRY,JOHN,FITZ-HENRY,JOHN,5964,5964,Sapper,0
FOLEY,DANIEL,FOWLER,DANIEL,447067,447067,Private,0
GALLOWAY,JAMES ALEXANDER,GALLAWAY,JAMES ALEXANDER,788289,788289,Private,0
GARDELOUK,PARALE,GARDELOWK,PAVEL,889264,889264,Private,0
GIAUQUE,HURBERT,GIAQUE,HUBERT,1010032,1010032,Private,0
GILCHREST,GEORGE,GILCHRIST,GEORGE,624849,624849,Private,0
GOOCH,JOHN,GOOD,JOHN,437575,437575,Private,0
GUILDFORD,SAMUEL,GUILFORD,SAMUEL,401135,401135,Private,0
HACHE,GEORGE HENRY,HACHEY,GEORGE H,444745,444745,Private,0
HALLET,CAMILLE,HALLETT,CAMILLE,472490,472490,Lance Serjeant,0
HALLIDAY,FRED,HEATON,FRANK,293,293,Private,0
HORN,HARVEY LORNE,HORNE,HARVEY LORNE,787669,787669,Private,0
JOHANNSSON,FRIDFIMIUR KJAERNESTED,JOHANSSON,FRIEDFINNUR,229352,229352,Private,0
JOHNS,MOSES,JOHN,MOSES,219503,219503,Private,0
JOHNSON,FREDERICK,JOHNSTON,FREDERICK,124029,124029,Private,0
JORDAN,JAKE,JORDEN,JAKE,1042362,1042362,Private,0
KINNEE,THOMAS ALVIN,KINNIE,THOMAS ALVIN,622669,622669,Private,0
L'ECUYER,AMEDEE,LECUYER,AMEDEE,842142,842142,Private,0
L'HEUREUX,VICTORIEN,LHEUREUX,VICTORIEN,748691,748691,Private,0
LAFRENIERE,GORDON ALEX,LAFRANIER,GORDON ALEX,811795,811795,Private,0
LANDRETH,ANDREW CAMERON,LANDIETH,ANDREW CAMERON,442418,442418,Private,0
LANGILLE,LAWSON MILLER,LANGILL,LAWSON,183846,183846,Private,0
LE BLANC,DANIEL,LEBLANC,DANIEL,222747,222747,Pioneer,0
LE BOUTILLIER,LEO BELLEAU,LEBOUTILLIER,LEO B,65553,65553,Private,0
LE BRETON,FRANCIS,LEBRETON,FRANCIS,86067,86067,Corporal,0
LE CLAIR,LEMUEL,LECLAIR,LEMUEL,712115,712115,Private,0
LE CLAIRE,FRANK,LECLAIR,FRANK,216099,216099,Private,0
LE GALLAIS,STANLEY CHARLES,LEGALLAIS,STANLEY,889794,889794,Private,0
LIEB,HARRY,LEARY,HENRY,141018,141018,Sergeant,0
LOARING,HENRY LOUIS,LEARING,HENRY LOUIS,701275,701275,Private,0
LUPERT,WILLIAM,LUPRT,WILLIAM,186184,186184,Private,0
MACARTHUR,ARNOLD GORDON,MCARTHUR,ARTHUR GORDON,902284,902284,Private,0
MACCOLL,FREDERICK,MCCOLL,FREDERICK,129632,129632,Private,0
MACDONALD,ANGUS GEORGE,MCDONALD,ANGUS G,69691,69691,Private,0
MACDONALD,CHARLES,MCDONALD,CHARLES,669665,669665,Private,0
MACDONALD,DONALD,MCDONALD,DONALD,705,705,Corporal,0
MACDONALD,HUGH,MCDONALD,HUGH,464334,464334,Private,0
MACDONALD,HUGH,MCDONALD,HUGH,478782,478782,Private,0
MACDONALD,JOHN,MCDONALD,JOHN R,696679,696679,Private,0
MACDONALD,RODERICK JOSEPH,MCDONALD,RODERICK JOSEPH,32848,32848,Private,0
MACDOUGALL,ALEXANDER FRASER,MCDOUGALL,ALEXANDER FRASER,161295,161295,Private,0
MACGEE,GERMAN ANDREW,MCGEE,GERMAN ANDREW,186624,186624,Private,0
MACGILLIVRAY,PAUL ANGUS,MCGILLIVRAY,PAUL ANGUS,541626,541626,Sergeant,0
MACIVOR,JOHN,MCIVOR,JOHN,187658,187658,Corporal,0
MACKAY,ERIC,MCKAY,ERIC,799360,799360,Private,0
MACKAY,ERNEST,MCKAY,ERNEST,154453,154453,Private,0
MACKAY,JAMES MORRISON,MCKAY,JAMES M,696225,696225,Private,0
MACKINNON,CYRUS,MCKINNON,CYRUS,507417,507417,Sapper,0
MACKINNON,DANIEL NEWTON,MCKINNON,DANIEL NEWTON,712381,712381,Private,0
MACLEAN,DUNCAN,MCLEAN,DUNCAN,888043,888043,Private,0
MACLEOD,DANIEL HUGH,MCLEOD,DANIEL HUGH,715402,715402,Private,0
MACLEOD,MURDO,MCLEOD,MURDO,887339,887339,Private,0
MACLEOD,NEIL,MCLEOD,NEIL,47911,47911,Lance Corporal,0
MACLEOD,SPURGEON,MCLEOD,SPURGEON,445076,445076,Private,0
MACMILLAN,JOHN ALLAN,MCMILLAN,JOHN ALLAN,132602,132602,Private,0
MACPHAIL,JAMES,MCPHAIL,JAMES,447260,447260,Private,0
MACPHAIL,JOHN NOEL,MCPHAIL,JOHN NOEL,911770,911770,Private,0
MAJAHARJU,MATTIAS,MAJA,MATTI,748241,748241,Private,0
MARCOUX,EDWARD,MARCOU,EDWARD,793426,793426,Private,0
MARLIEB,MAX,MARTIN,MAX,521,521,Private,0
MCALPINE,THOMAS,MACALPINE,THOMAS,887091,887091,Private,0
MCCLURE,CHARLES WALTER,MCLURE,CHARLES WALTER,130120,130120,Private,0
MCCRAW,JAMES ALEXANDER LEITCH,MACK,JAMES ALEXANDER,139630,139630,Private,0
MCDONALD,RODDIE,MACDONALD,RODERIC,177912,177912,Private,0
MCDONELL,JOHN LAWRENCE,MCDONNELL,JOHN L,129550,129550,Private,0
MCFARLANE,JOHN,MACFARLANE,JOHN,657416,657416,Private,0
MCGILLIVRAY,DOUGALD,MACGILLIVRAY,DOUGALD,902251,902251,Private,0
MCGILLIVRAY,JAMES,MACGILLIVRAY,JAMES,687158,687158,Private,0
MCIVER,ANGUS,MACIVER,ANGUS,222268,222268,Private,0
MCKAY,JOHN,MACKAY,JOHN,408825,408825,Private,0
MCKENZIE,DONALD JAMES,MACKENZIE,DONALD JAMES,907512,907512,Private,0
MCLAREN,ROBERT GORDON,MACLAREN,ROBERT GORDON,180860,180860,Private,0
MCLEOD,HAROLD ARTEMAS,MACLEOD,HAROLD A,1261346,1261346,Gunner,0
MCPHERSON,JOHN JEREMIAH,MACPHERSON,JOHN JEREMIAH,877991,877991,Private,0
MCPHERSON,JOSEPH ALEXANDER,MACPHERSON,JOSEPH ALEX,901565,901565,Private,0
MCSPORRAN,ALEXANDER,MCSPARRAN,ALEXANDER,292082,292082,Private,0
MELROS,ANDREW PATERSON,MELROSE,ANDREW PATERSON,442593,442593,Private,0
MILLAR,DAVID,MILLER,DAVID,805543,805543,Private,0
MISLNISHKOTEWE,VINCENT,MISINISHKOTEWE,VINCENT,755136,755136,Private,0
MONDEVILLE,FRANK,MONDVILLE,FRANK,636826,636826,Private,0
MORIARTY,PATRICK,MORIARITY,PATRICK,409747,409747,Sapper,0
MOSSERI,CHARLES,MOSSERY,CHARLES,706048,706048,Private,0
MUSGROVE,MARSHALL,MOSGROVE,MARSHALL,797014,797014,Private,0
NEILL,JAMES,NEIL,JAMES,147458,147458,Private,0
NEWBROOKE,RALPH DRAKE,NEWBROOK,RALPH DRAKE,164317,164317,Private,0
O'BRIEN,BENJAMIN,OBRIEN,BENJAMIN,794209,794209,Private,0
O'BRIEN,HAROLD,OBRIEN,HAROLD ROSS,506502,506502,Sapper,0
O'BRIEN,MARTIN JOSEPH,OBRIEN,MARTIN JOSEPH,261700,261700,Private,0
O'CONNELL,DANIEL ERNEST,OCONNELL,DANIEL ERNEST,348998,348998,Gunner,0
O'CONNELL,JAMES THOMAS,OCONNELL,JAMES THOMAS,158656,158656,Private,0
O'CONNELL,JOHN,OCONNELL,JOHN,20515,20515,Private,0
O'DONNELL,JOHN JAMES,ODONNELL,JOHN JAMES,785126,785126,Private,0
O'DONOVAN,DANIEL,ODONOVAN,DANIEL,59755,59755,Private,0
O'DWYER,PATRICK MICHAEL,ODWYER,PATRICK MICHAEL,812192,812192,Private,0
O'FLAHERTY,LAURENCE,OFLAHERTY,LAWRENCE,72100,72100,Private,0
O'HANLEY,THOMAS,OHANLEY,THOMAS,140164,140164,Company Sergeant Major,0
O'MAY,ROBERT,OMAY,ROBERT,907191,907191,Private,0
O'NEIL,JERRY,ONEIL,JERRY,775150,775150,Private,0
O'NEILL,CLARENCE WILLIAM,ONEILL,CLARENCE WILLIAM,733753,733753,Private,0
O'NEILL,JAMES,ONEILL,JAMES P,167094,167094,Private,0
O'NEILL,JOHN GREGORY,ONEILL,JOHN GREGORY,710079,710079,Private,0
O'NEILL,LAWRENCE JUSTIN,ONEILL,LAWRENCE JUSTIN FRANCIS,279872,279872,Sergeant,0
O'NEILL,PATRICK LAWRENCE,ONEILL,PATRICK L,47640,47640,Private,0
O'NIELL,JOHN,ONEILL,JOHN,220428,220428,Private,0
O'REILLY,WILFRED,OREILLY,WILFRED,663196,663196,Private,0
O'SHEA,CORNELIUS,OSHEA,CORNELIUS,163894,163894,Private,0
O'SHEA,JEREMIAH PATRICK,OSHEA,JEREMIAH PATRICK,219634,219634,Private,0
OSBORN,FREDERICK JAMES,OSBORNE,FREDERICK JAMES,814266,814266,Private,0
PAGLIALUNGA,ALFREDO,PAGLIALUNGO,ALFRED,877531,877531,Private,0
PARDEW,JOHN,PARSLOE,JOHN STUYVESANT,916942,916942,Private,0
PARKIN,FREDERICK JAMES,PARKINS,FREDERICK JAMES,455686,455686,Private,0
PATTULLO,JAMES SCOTT,PATTULO,JAMES SCOTT,129493,129493,Sergeant,0
PENNY,GEORGE,PENNEY,GEORGE,811436,811436,Private,0
PITTICKI,EOSIP,PITTICHI,E,219373,219373,Private,0
RADCLYFFE,FRANK,RADCLIFFE,FRANK,148299,148299,Private,0
RICHARDS,FREDERICK GEORGE,RICHARD,FREDERICK GEORGE,841234,841234,Private,0
RIGHTMEYER,JOHN WILLIAM,RIGHTMYER,JOHN WILLIAM,1093082,1093082,Private,0
ROCKBRUNE,FRANCIS,ROCKBURNE,FRANCIS,145324,145324,Private,0
SALOIS,ALBERT,SALLOIS,ALBERT,847126,847126,Private,0
SALTE,FRANK,SALTER,FRANK,830217,830217,Private,0
SEWELL,XAVIER,SEVELL,XAVIER,793438,793438,Private,0
SHARPE,FRED,SHARP,FRED,148144,148144,Private,0
SMYTH,EDWARD SYDNEY,SMITH,EDWARD SYDNEY,467521,467521,Private,0
SORENSEN,NORVAL ALONZO,SORENZEN,NORVAL ALONZO,552461,552461,Private,0
SORENSON,CHRISTIAN,SORENSEN,CHRISTIAN JAMSEN,228285,228285,Gunner,0
SPARROW,VERNON EDWIN,SPARROWE,VERNON EDWIN,435129,435129,Private,0
SPRACKLIN,JOHN GARDNER,SPRACKLEN,JOHN GARDINER,715704,715704,Private,0
STEAD,JOHN NOEL,STEADMAN,JOHN NOEL,871056,871056,Private,0
STECKENREITER,LOUIS PETER,STECKENWREITER,LOUIS PETER,782182,782182,Private,0
STIJEPCICH,ARSEN,STIGEPCICH,ARSENE,121334,121334,Private,0
STOREGOFF,WALTER,STORSHOFF,WALTER,888048,888048,Private,0
THOMPSON,JAMES TURNBULL,THOMSON,JAMES TURNBULL,204087,204087,Private,0
THOMSON,SIDNEY,THOMPSON,SIDNEY,841904,841904,Private,0
VAN DER HEYDEN,PETRUS HENDRIKUS,VANDERHEYDEN,PETE,216669,216669,Private,0
VAN HORNE,ALISON,VANHORNE,ALISON,622479,622479,Private,0
VOHMAN,WILLIAM ROBERT,VOHMANN,WILLIAM R,163716,163716,Corporal,0
VON ENDE,LANCELOT CARL,VONENDE,LANCE CARL,730765,730765,Private,0
WADDEL,WILLIAM,WADDELL,WILLIAM,687879,687879,Private,0
ALBEARTA,SAMUEL JAMES,ALBERTA,SAMUEL JAMES,657010,657010,Private,0
ANDERSEN,RUDOLPH,ANDERSON,RUDOLPH,703230,703230,Private,0
BELECKY,DANIEL,BALECKY,DAN,898390,898390,Private,0
BERTHELETTE,RAYMOND,BERTHELETT,RAYMOND,292055,292055,Private,0
BOULET,JOSEPH RAOUL,BOULE,JOSEPH,449113,449113,Private,0
BROWN,MURDOCK MCDONALD,BROWNE,MURDOCK MCDONALD,696318,696318,Corporal,0
CALLAHAN,MATHEW JOSEPH,CALLAGHAN,MATTHEW J,25930,25930,Private,0
CARRUTHERS,HARRY,CARROTHERS,HARRY,887490,887490,Private,0
CHAMBERLIN,HAROLD ROSS,CHAMBERLAIN,HAROLD R,908132,908132,Private,0
CHARCHENKO,ALEXANDER,CHARCHEUKO,ALEXANDER,721848,721848,Private,0
CLARKE,ROBERT,CLARK,ROBERT,541714,541714,Sapper,0
CORSON,CECIL,CORSAN,CECIL,442042,442042,Private,0
D'ARTOIS,RENE,DARTOIS,RENE,62209,62209,Private,0
DE GARMENDIA,VINCENT,DEGARMENDIA,VINCENT,842187,842187,Private,0
DE GRACE,WILLIAM,DEGRACE,WILLIAM,793778,793778,Private,0
DE LINE,WALTER HOWARD ABSALOM,DELINE,WALTER HOWARD ABSOLAM,225553,225553,Private,0
DE LONG,WILLIAM GEORGE,DELONG,WILLIAM GEORGE,696744,696744,Private,0
DE MERCHANT,GLAZIER,DEMERCHANT,GLAZER,817611,817611,Private,0
DELAFIELD,CHARLES EDWARD,DARLING,CHARLES EDWARD,832042,832042,Private,0
DESJARDINS,NAPOLEON,DESJARDIN,NAPOLEON,1042712,1042712,Sapper,0
DIXSON,LEONARD CHARLES,DIXON,LEONARD CHARLES,255570,255570,Private,0
DONELLY,JAMES,DONNELLY,JAMES,207607,207607,Lance Corporal,0
DONNELLEY,CHRISTOPHER,DONNELLY,CHRISTOPHER,78030,78030,Private,0
DUMONTIER,FRED,DUMNTER,FRED,637121,637121,Private,0
DUNNLNG,GORDON GREGORY,DUNNING,GORDON GREGORY,101411,101411,Corporal,0
DUPERRE,ADRIEN,DUPERIE,ADRIEN,416028,416028,Private,0
FINNEMORE,NORMAN,FINEMORE,NORMAN,817960,817960,Private,0
FINNESSEY,THOMAS JAMES,FINNESSY,THOMAS J,144010,144010,Private,0
FLEMMING,EDWARD,FLEMING,EDWARD,877633,877633,Corporal,0
FORSDAHL,JOHN ANTON,FOSTER,JAMES,823909,823909,Private,0
FORSYTH,TOM,FORSYTHE,THOMAS,73736,73736,Private,0
GARRYU,JOSEPH,GARRYUK,JOSEPH,904392,904392,Private,0
GAVRIK,TIMOTEI,GAVRICK,TIMOFEI,417959,417959,Private,0
