LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
MCLEOD,MURDO,MACLEOD,MURDO,106446,106446,Private,0
MONTANELLI,JOHN,MONTANELL,JOHN,24267,24267,Private,0
MURDOCH,JOHN,MURDOCK,JOHN,6708,6708,Private,0
NESBIT,THOMAS OSWALD,NESBITT,THOMAS OSWALD,20272,20272,Company Sergeant Major,0
O'BRIEN,CHARLES,OBRIEN,CHARLES,22781,22781,Corporal,0
O'CONNELL,WILLIAM,OCONNELL,WILLIAM,1823,1823,Private,0
O'CONNOR,CHARLES LAWRENCE,OCONNOR,CHARLES LAWRENCE BERNARD,9392,9392,Sergeant,0
O'CONNOR,JAMES,OCONNOR,JAMES,90365,90365,Gunner,0
O'DONOGHUE,TIMOTHY,ODONOGHUE,TIMOTHY,22099,22099,Private,0
O'DOWD,ROBERT,ODOWD,ROBERT,884,884,Private,0
O'HANDLEY,PETER,OHANDLEY,PETER,63698,63698,Private,0
O'KEEFE,DANIEL,OKEEFE,DANIEL,23562,23562,Private,0
O'KEEFE,ONEY,OKEEFE,ONEY,65746,65746,Private,0
O'LEARY,JOHN JOSEPH,OLEARY,JOHN JOSEPH,20656,20656,Private,0
O'NEIL,THOMAS JAMES,ONEIL,THOMAS JAMES,81678,81678,Private,0
O'NEILL,PERCY RAY,ONEILL,PERCY RAY,55676,55676,Private,0
O'NEILL,VERNER SCOTT,ONEIL,VERNON SCOTT,55677,55677,Private,0
O'REILLY,THOMAS ANTHONY,OREILLY,THOMAS ANTHONY,2552,2552,Private,0
O'ROURKE,DAVID,OROURKE,DAVID,19612,19612,Corporal,0
O'TOOLE,JOSEPH,OTOOLE,JOSEPH,42561,42561,Gunner,0
PINSONNEAULT,ELMER,PINSONEAULT,ELMER,63716,63716,Private,0
QUINN,JAMES EDWARD,QUIN,JAMES E,24640,24640,Private,0
SCHLOESSER,ALBERT,SCHLOSSER,ALBERT,28789,28789,Private,0
SHARP,ERNEST,SHARPE,ERNEST,63842,63842,Private,0
SHEPPARD,HENRY,SHEPPHARD,H C,1468,1468,Private,0
SHERRIFF,LORNE ALBERT,SHERIFF,LORNE,187,187,Private,0
SLANEY,REGINALD AMBROSE,STANEY,REGINALD AMBROSE,20259,20259,Private,0
SMALL,WILLIAM,SEWALL,WILLIAM,1354,1354,Private,0
STE MARIE,ADRIEN,ST MARIE,ADRIAN,65867,65867,Private,0
STEPHEN,JAMES,STEPHENS,JAMES,41037,41037,Gunner,0
STREETON,JOHN DE COURCY,STRETTON,JOHN DE COURCY,808979,808979,Second Lieutenant,0
STROMBEH,JACK,STROMBEK,JACK,28090,28090,Private,0
TANCRIDE,ALEXANDRE,TANCREDE,ALEXANDER,61593,61593,Private,0
THOMSON,GILBERT,THOMPSON,GILBERT,8584,8584,Private,0
TOWNSHEND,FRANCIS CHARLES,TOWNSEND,FRANK,24084,24084,Sergeant,0
TWYNAM,WILLIAM HUGH,TWYMAN,WILLIAM HUGH,16391,16391,Corporal,0
VAN RIJN,ARIE HENDRICUS,VANRYN,ARIE HENDRICUS,9257,9257,Private,0
VAN SCHEPDAEL,ANTON LEONE,VANSCHEPDAEL,A L,19632,19632,Private,0
VAN-ACHTE,PAUL,VANACHTE,PAUL,19810,19810,Private,0
VENNEEAR,WALTER,VENNEAR,WALTER,1490,1490,Private,0
WAMBOLDT,WILLIAM,WAMBOULT,WILLIAM,470012,470012,Private,0
ANETTE,HARRY ARTHUR,ANNETTE,HARRY,55141,55141,Private,0
BISHOP,ALBERT EDWARD,BURGESS,ALBERT THOMAS,7013,7013,Private,0
BRADIE,ARCHIBALD BLYTH,BRODIE,ARCHIBALD,1064,1064,Corporal,0
BRANDON,WILLIAM,BRANDOM,WILLIAM,72145,72145,Private,0
BUCHANAN,WILLIAM,BUCHANNAN,WILLIAM,219950,219950,Private,0
COSSMANN,CHARLES ERNEST,COSSMAN,CHARLES,46296,46296,Private,0
DUFFY,THOMAS,DUFFEY,THOMAS,446819,446819,Private,0
HARMAN,JOSEPH,HARMON,JOSEPH V,400930,400930,Private,0
JOHNSTON,DAVID,JOHNSON,DAVE,27909,27909,Private,0
JOHNSTON,JAMES WILLIAM,JOHNSTONE,JAMES,18516,18516,Private,0
KERAVAL,GEORGE,KIRAVAL,GEORGE,61576,61576,Private,0
KERR WILSON,ROBERT HUGH,KERR-WILSON,ROBERT HUGH,29231,29231,Private,0
L'ECUYER,EUGENE,LECUYER,EUGENE,477529,477529,Private,0
LE BLANC,ADRIEN,LEBLANC,ADRIEN,61145,61145,Private,0
MACCULLOUGH,CLIFFORD,MCCULLOUGH,CLIFFORD,716091,716091,Private,0
MACGILLIVRAY,JAMES DUNCAN MONTGOMERY,MCGILLIVRAY,JAMES,448179,448179,Private,0
MACINTYRE,ANGUS,MCINTYRE,ANGUS,81539,81539,Private,0
MACKENZIE,MELVIN,MCKENZIE,MELVIN,414132,414132,Private,0
MACKINNON,ANGUS,MCKINNON,ANGUS,154880,154880,Pioneer,0
MACLAURIN,DOUGLAS CAMERON,MCLAURIN,DOUGLAS CAMERON,24856,24856,Private,0
MACNEIL,DONALD,MCNEIL,DONALD J,24621,24621,Private,0
MCDONALD,JOHN,MACDONALD,JOHN,438026,438026,Private,0
MCDONALD,PHILIP,MACDONALD,PHILIP,710,710,Private,0
MCGILLIVRAY,STEPHEN,MCGILLIVARY,STEPHEN,414695,414695,Private,0
MCGREGOR,JOHN MURRAY,MACK,JAMES G,177,177,Private,0
MCINTYRE,DONALD,MACINTYRE,DONALD,712590,712590,Private,0
MCLEOD,JOHN ARCHIBALD,MACLEOD,JOHN ARCHIBALD,874138,874138,Private,0
MCMEEKIN,THOMAS GARDINER,MCMECKIN,T,116272,116272,Private,0
MCNEEL,JOSEPH HAROLD,MCNEIL,JOSEPH HAROLD,477658,477658,Private,0
MCWILLIAM,HERBERT,MCWILLIAMS,HERBERT,101175,101175,Private,0
MILLAN,FRANK VICTOR,MILAN,FRANK VICTOR,473106,473106,Private,0
MOWATT,JOHN LAIRD,MOWAT,JOHN LAIRD,192277,192277,Private,0
O'BRIEN,BERNARD,OBRIEN,BERNARD,65740,65740,Private,0
O'CONNELL,CHESTER ARTHUR,OCONNELL,CHESTER,454189,454189,Sergeant,0
O'DONNELL,ERNIE,ODONNELL,ERNEST E,818010,818010,Private,0
O'KEEFE,ARTHUR,OKEEFE,ARTHUR,23561,23561,Private,0
O'KEEFE,FRANCIS,OKEEFE,FRANCIS JOSEPH,687659,687659,Private,0
O'NEILL,ANNESLEY,ONEILL,ABRAHAM,700394,700394,Private,0
PLEMENNIK,IVAN,PLEMENNICK,IVAN,417850,417850,Private,0
POULSON,MORRIS,POULSEN,MORRIS,430201,430201,Private,0
RAE (REA),ALAN,RAE,ALAN,802821,802821,Private,0
ROONEY,HENRY,RAINEY,HARRY JOSEPH,402987,402987,Private,0
ROUSINTHOL,MOSES JOSEPH,ROUSINTHAL,MOSES JOSEPH,53905,53905,Corporal,0
SALTSMAN,JOHN KLINE,SHAW,JOHN,443082,443082,Private,0
SEELY,LESLIE GILBERT,SEELEY,LESLIE GILBERT,69945,69945,Private,0
SLAUNWHITE,CHARLES HOWARD,SLAUENWHITE,CHARLES H,69888,69888,Corporal,0
SMYTH,ALLAN MATHEW EMERY,SMITH,ALLAN,2867,2867,Private,0
STEPHENS,WILLIAM,STEPHEN,WILLIAM,503742,503742,Sapper,0
STURMEY,THOMAS,STURNEY,THOMAS,57936,57936,Private,0
